geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000167107	ACSF2	105.844	-0.155167569082763	0.444758891150106	0.772472354640904	8.64	9.408	ASO_G0272888_AD_07	AC013394.2	-0.467
ENSG00000169972	PUSL1	179.982	0.102481832052355	0.444832369127808	0.772472354640904	17.225	15.656	ASO_G0272888_AD_07	AC013394.2	0.433
ENSG00000183715	OPCML	50.838	0.151273269200494	0.44500940882193	0.772472354640904	5.044	4.399	ASO_G0272888_AD_07	AC013394.2	0.927
ENSG00000186416	NKRF	146.049	0.107940559362452	0.444724267028861	0.772472354640904	14.107	12.702	ASO_G0272888_AD_07	AC013394.2	0.207
ENSG00000122958	VPS26A	1822.872	0.0845165639141532	0.445114351284014	0.772500256558865	173.119	158.71	ASO_G0272888_AD_07	AC013394.2	0.367
ENSG00000127995	CASD1	102.574	-0.32308854707033	0.445681613915167	0.773250174917239	7.485	9.207	ASO_G0272888_AD_07	AC013394.2	-1.068
ENSG00000166016	ABTB2	54.926	0.142087918262312	0.445744342674621	0.773250174917239	5.391	4.77	ASO_G0272888_AD_07	AC013394.2	0.509
ENSG00000200795	RNU4-1	36.836	0.189551925431421	0.445621743520074	0.773250174917239	3.727	3.188	ASO_G0272888_AD_07	AC013394.2	0.116
ENSG00000203999	RP11-290F20.1	24.838	0.219462517856884	0.445716154881032	0.773250174917239	2.554	2.142	ASO_G0272888_AD_07	AC013394.2	0.382
ENSG00000100815	TRIP11	246.186	-0.103158078425429	0.446213853275661	0.773617596477369	20.954	21.777	ASO_G0272888_AD_07	AC013394.2	-0.567
ENSG00000129680	MAP7D3	653.569	-0.115649079340978	0.446137357520099	0.773617596477369	54.909	57.767	ASO_G0272888_AD_07	AC013394.2	-0.624
ENSG00000163848	ZNF148	344.866	0.0939074824300889	0.446205040632259	0.773617596477369	32.954	30.079	ASO_G0272888_AD_07	AC013394.2	0.791
ENSG00000185627	PSMD13	1585.375	0.0890783111215871	0.446017896576769	0.773617596477369	150.854	138.127	ASO_G0272888_AD_07	AC013394.2	0.674
ENSG00000235908	RHOA-IT1	33.572	-0.336212012437031	0.446151978264449	0.773617596477369	2.443	3.029	ASO_G0272888_AD_07	AC013394.2	-0.971
ENSG00000250234	CTD-2024P10.1	11.979	0.281844658315	0.44625311899168	0.773617596477369	1.238	1.035	ASO_G0272888_AD_07	AC013394.2	-0.265
ENSG00000197933	ZNF823	58.882	0.146271813046153	0.446346046178502	0.773692880311632	5.822	5.099	ASO_G0272888_AD_07	AC013394.2	0.48
ENSG00000112578	BYSL	250.621	-0.11232068383334	0.446473216470199	0.773827497608029	21.045	22.147	ASO_G0272888_AD_07	AC013394.2	-0.798
ENSG00000138604	GLCE	285.067	0.102713215854042	0.446593449779765	0.773864259429903	27.322	24.805	ASO_G0272888_AD_07	AC013394.2	0.698
ENSG00000146963	C7orf55-LUC7L2	1395.827	0.116744016483708	0.446568337669102	0.773864259429903	135.316	121.082	ASO_G0272888_AD_07	AC013394.2	1.014
ENSG00000245498	RP11-677M14.7	14.322	-0.311842924846835	0.446660688474046	0.773894974043824	1.047	1.289	ASO_G0272888_AD_07	AC013394.2	-0.675
ENSG00000162746	FCRLB	84.916	-0.1263104789512	0.446827634852884	0.77409841861567	7.125	7.51	ASO_G0272888_AD_07	AC013394.2	-0.447
ENSG00000175305	CCNE2	77.202	-0.165157627556162	0.446889185860079	0.774119248032034	6.305	6.842	ASO_G0272888_AD_07	AC013394.2	-0.046
ENSG00000214198	RP11-642P15.1	9.66	0.311049813117117	0.447050382664112	0.774312664122348	1.071	0.824	ASO_G0272888_AD_07	AC013394.2	-1.557
CATG00000098665	CATG00000098665.1	32.132	-0.184634779323173	0.447248622827106	0.774339160844205	2.503	2.87	ASO_G0272888_AD_07	AC013394.2	-0.698
ENSG00000089351	GRAMD1A	514.92	-0.13259707918998	0.447457302102279	0.774339160844205	42.71	45.548	ASO_G0272888_AD_07	AC013394.2	-0.972
ENSG00000169756	LIMS1	457.993	-0.0751161912356586	0.447462015402742	0.774339160844205	39.247	40.439	ASO_G0272888_AD_07	AC013394.2	-0.059
ENSG00000173064	HECTD4	160.595	-0.246309175256663	0.447347858051271	0.774339160844205	12.357	14.371	ASO_G0272888_AD_07	AC013394.2	-0.477
ENSG00000183111	ARHGEF37	10.402	0.28022587089755	0.447348912892281	0.774339160844205	1.075	0.897	ASO_G0272888_AD_07	AC013394.2	0.002
ENSG00000183773	AIFM3	20.371	-0.241026588558317	0.447295991975405	0.774339160844205	1.609	1.818	ASO_G0272888_AD_07	AC013394.2	-0.783
ENSG00000189046	ALKBH2	147.852	0.0892823383391243	0.447406972710232	0.774339160844205	14.111	12.88	ASO_G0272888_AD_07	AC013394.2	0.083
ENSG00000209582	SNORA48	12.915	-0.380231368862195	0.447238666406597	0.774339160844205	0.885	1.171	ASO_G0272888_AD_07	AC013394.2	-0.599
ENSG00000213996	TM6SF2	20.275	-0.24698479244523	0.447705360441949	0.774588751794074	1.525	1.818	ASO_G0272888_AD_07	AC013394.2	-0.61
ENSG00000245573	BDNF-AS	27.588	0.217055338379784	0.447685879068611	0.774588751794074	2.953	2.374	ASO_G0272888_AD_07	AC013394.2	0.621
CATG00000057844	CATG00000057844.1	14.891	0.240741478186887	0.448203505122413	0.774655572229354	1.613	1.273	ASO_G0272888_AD_07	AC013394.2	0.715
ENSG00000006468	ETV1	632.907	0.0883360460897867	0.448387190137741	0.774655572229354	60.245	55.117	ASO_G0272888_AD_07	AC013394.2	0.462
ENSG00000048991	R3HDM1	420.486	-0.0867083576428764	0.447963011741357	0.774655572229354	36.103	37.126	ASO_G0272888_AD_07	AC013394.2	0.109
ENSG00000076716	GPC4	17.976	-0.269598242098442	0.448110818714738	0.774655572229354	1.377	1.605	ASO_G0272888_AD_07	AC013394.2	0.022
ENSG00000101407	TTI1	226.513	0.098396538185512	0.448056990205582	0.774655572229354	21.723	19.703	ASO_G0272888_AD_07	AC013394.2	0.615
ENSG00000112282	MED23	342.052	-0.0811912328939595	0.448586537699801	0.774655572229354	29.422	30.182	ASO_G0272888_AD_07	AC013394.2	-0.326
ENSG00000117226	GBP3	304.479	0.0977614168149707	0.448146017364371	0.774655572229354	29.251	26.5	ASO_G0272888_AD_07	AC013394.2	0.385
ENSG00000128342	LIF	34.682	0.191706523675545	0.448584343681408	0.774655572229354	3.588	2.989	ASO_G0272888_AD_07	AC013394.2	0.133
ENSG00000128595	CALU	8752.162	-0.0931423314882097	0.448313127801532	0.774655572229354	744.937	771.694	ASO_G0272888_AD_07	AC013394.2	-0.247
ENSG00000142945	KIF2C	490.781	0.0883191103516538	0.44854109376385	0.774655572229354	46.83	42.722	ASO_G0272888_AD_07	AC013394.2	0.511
ENSG00000176842	IRX5	89.616	-0.208278621171918	0.448531239224693	0.774655572229354	7.013	7.983	ASO_G0272888_AD_07	AC013394.2	-0.705
ENSG00000196263	ZNF471	57.008	-0.143595232650375	0.448373650617322	0.774655572229354	4.649	5.061	ASO_G0272888_AD_07	AC013394.2	-0.631
ENSG00000197375	SLC22A5	28.125	-0.194783834833082	0.448520760391648	0.774655572229354	2.244	2.505	ASO_G0272888_AD_07	AC013394.2	-0.711
ENSG00000261611	AC010547.9	32.476	0.183293999400143	0.447973167513614	0.774655572229354	3.273	2.814	ASO_G0272888_AD_07	AC013394.2	0.461
ENSG00000266933	AC005775.2	31.887	-0.213953174534869	0.448286144203537	0.774655572229354	2.475	2.848	ASO_G0272888_AD_07	AC013394.2	-0.414
ENSG00000267060	PTGES3L	11.755	0.261466457607682	0.447857019017597	0.774655572229354	1.242	1.007	ASO_G0272888_AD_07	AC013394.2	0.795
ENSG00000270181	BIVM-ERCC5	127.383	0.138608403549215	0.448466293576774	0.774655572229354	12.516	11.088	ASO_G0272888_AD_07	AC013394.2	0.611
CATG00000019453	CATG00000019453.1	15.257	-0.296725691714611	0.448765734218216	0.774710250797698	1.112	1.366	ASO_G0272888_AD_07	AC013394.2	-0.439
ENSG00000075539	FRYL	315.808	-0.0906011038059258	0.448766897678973	0.774710250797698	26.844	27.931	ASO_G0272888_AD_07	AC013394.2	-0.008
ENSG00000164168	TMEM184C	388.979	0.131047875157231	0.448729135682725	0.774710250797698	37.988	33.681	ASO_G0272888_AD_07	AC013394.2	0.814
ENSG00000138071	ACTR2	6187.99	-0.0818082761370639	0.448991534267843	0.775012444020583	530.421	545.715	ASO_G0272888_AD_07	AC013394.2	-0.485
CATG00000034851	CATG00000034851.1	10.353	0.294510468797442	0.449588984955551	0.775329877136876	1.145	0.883	ASO_G0272888_AD_07	AC013394.2	0.086
